TmMin	IdleSz	NeedChgQSz	mssnQSz	NumChg	V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19
0	20	0	0	3	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-DELTA	IDLE-DELTA	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	
0	19	0	0	3	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-0	IDLE-DELTA	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	
1	18	0	0	3	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-0	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-1	IDLE-DELTA	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	
2	17	0	0	3	IN_FLIGHT-3-0	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-1	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-2	IDLE-DELTA	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	
3	16	0	0	3	IN_FLIGHT-3-1	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-2	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-3	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-0	IDLE-ECHO	IDLE-ECHO	
4	15	0	0	3	IN_FLIGHT-3-2	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-0	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-3	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-4	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-1	IDLE-ECHO	IDLE-ECHO	
5	14	0	0	3	IN_FLIGHT-3-3	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-1	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-4	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-5	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-2	IDLE-ECHO	IN_FLIGHT-1-0	
6	13	0	0	3	IN_FLIGHT-3-4	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-2	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-5	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-0	IDLE-CHARLIE	IN_FLIGHT-1-6	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-3	IDLE-ECHO	IN_FLIGHT-1-1	
7	12	0	0	3	IN_FLIGHT-3-5	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-3	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-6	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-1	IDLE-CHARLIE	IN_FLIGHT-1-7	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-4	IN_FLIGHT-1-0	IN_FLIGHT-1-2	
8	11	0	0	3	IN_FLIGHT-3-6	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-4	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-7	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-2	IDLE-CHARLIE	IN_FLIGHT-1-8	IDLE-DELTA	IN_FLIGHT-1-0	IN_FLIGHT-1-5	IN_FLIGHT-1-1	IN_FLIGHT-1-3	
9	10	0	0	3	IN_FLIGHT-3-7	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-5	IN_FLIGHT-4-0	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-8	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-3	IDLE-CHARLIE	IN_FLIGHT-1-9	IDLE-DELTA	IN_FLIGHT-1-1	IN_FLIGHT-1-6	IN_FLIGHT-1-2	IN_FLIGHT-1-4	
10	9	0	0	3	IN_FLIGHT-3-8	IN_FLIGHT-3-0	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-6	IN_FLIGHT-4-1	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-9	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-4	IDLE-CHARLIE	IN_FLIGHT-1-10	IDLE-DELTA	IN_FLIGHT-1-2	IN_FLIGHT-1-7	IN_FLIGHT-1-3	IN_FLIGHT-1-5	
11	8	0	0	3	IN_FLIGHT-3-9	IN_FLIGHT-3-1	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-7	IN_FLIGHT-4-2	IN_FLIGHT-4-0	IDLE-BRAVO	IN_FLIGHT-2-10	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-5	IDLE-CHARLIE	IN_FLIGHT-1-11	IDLE-DELTA	IN_FLIGHT-1-3	IN_FLIGHT-1-8	IN_FLIGHT-1-4	IN_FLIGHT-1-6	
12	7	0	0	3	IN_FLIGHT-3-10	IN_FLIGHT-3-2	IN_FLIGHT-3-0	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-8	IN_FLIGHT-4-3	IN_FLIGHT-4-1	IDLE-BRAVO	IN_FLIGHT-2-11	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-6	IDLE-CHARLIE	IN_FLIGHT-1-12	IDLE-DELTA	IN_FLIGHT-1-4	IN_FLIGHT-1-9	IN_FLIGHT-1-5	IN_FLIGHT-1-7	
13	6	0	0	3	IN_FLIGHT-3-11	IN_FLIGHT-3-3	IN_FLIGHT-3-1	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-9	IN_FLIGHT-4-4	IN_FLIGHT-4-2	IDLE-BRAVO	IN_FLIGHT-2-12	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-7	IN_FLIGHT-2-0	IN_FLIGHT-1-13	IDLE-DELTA	IN_FLIGHT-1-5	IN_FLIGHT-1-10	IN_FLIGHT-1-6	IN_FLIGHT-1-8	
14	5	0	0	3	IN_FLIGHT-3-12	IN_FLIGHT-3-4	IN_FLIGHT-3-2	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-10	IN_FLIGHT-4-5	IN_FLIGHT-4-3	IDLE-BRAVO	IN_FLIGHT-2-13	IDLE-CHARLIE	IN_FLIGHT-2-0	IN_FLIGHT-2-8	IN_FLIGHT-2-1	IN_FLIGHT-1-14	IDLE-DELTA	IN_FLIGHT-1-6	IN_FLIGHT-1-11	IN_FLIGHT-1-7	IN_FLIGHT-1-9	
